Part Number,Manufacturer,Description,Category,Detailed Description,Primary Photo,Unit Price
1738-1228-ND,DFRobot,DFRDUINO UNO V3.0 ATMEGA328P,"Development Boards, Kits, Programmers",ATmega328P DFRduino Uno V3.0 AVR® ATmega AVR MCU 8-Bit Embedded Evaluation Board,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2304/MFG_DFR0216.jpg,12.9
1050-ABX00080-ND,Arduino,ARDUINO UNO R4 MINIMA,"Development Boards, Kits, Programmers","The Arduino UNO R4 Minima (ABX00080) is a compact and powerful development board featuring the Renesas RA4M1 which embeds an Arm Cortex M4 32 bit microcontroller. With 256kB flash, 32kB RAM, and 8 kB data memory it operates at a clock speed of 48 MHz and supports a 5V logic level, making it suitable for a wide range of embedded applications using the UNO form factor accessories. The board includes 14 digital I/O pins, 6 analog inputs, and PWM capability, providing versatile GPIO options for various projects. Additionally, it supports CAN, I2C, SPI, and UART communication protocols, ensuring seamless connectivity with other devices.",https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/5407/MFG_ABX00080_primary.jpg,16.0
1050-ABX00087-ND,Arduino,ARDUINO UNO R4 WIFI,"Development Boards, Kits, Programmers","The Arduino UNO R4 WiFi features a 32-bit Renesas RA4M1 microcontroller (48 MHz ARM Cortex M4) and ESP32-S3-MINI-1-N8 WiFi module. The board features enhanced memory specifications with 256kB flash, 32kB SRAM, and 8kB EEPROM, while supporting both WiFi (802.11 b/g/n) and Bluetooth® 5.x connectivity at 2.4GHz. This combination of features makes it a versatile platform for wireless communication projects and IoT applications, offering significantly more processing power and connectivity options than previous UNO models.",https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/5407/MFG_ABX00087_primary.jpg,22.0
1050-1041-ND,Arduino,ARDUINO UNO SMD R3 ATMEGA328,"Development Boards, Kits, Programmers","The Arduino Uno SMD R3, manufactured by Arduino, is an 8-bit embedded evaluation board powered by the ATmega328P microcontroller. It features a 16 MHz clock speed and operates at a 5V logic level. The board includes 14 digital I/O pins (6 of which are PWM outputs), 6 analog inputs, and supports various communication protocols such as I2C, SPI, and UART.  It includes 2KB SRAM 32KB FLASH, and 1KB EEPROM. Compatible with the Arduino IDE, this board utilizes the Arduino R3 Shield interconnect system, making it an ideal choice for a wide range of prototyping and development projects.",https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/5411/MFG_A000073.jpg,26.3
1050-1024-ND,Arduino,ARDUINO UNO R3 ATMEGA328P BOARD,"Development Boards, Kits, Programmers","The Arduino Uno R3 is an 8-bit  microcontroller board featuring the ATmega328P microcontroller (MCU). This board operates at a clock speed of 16 MHz and uses a 5V logic level, making it ideal for a wide range of embedded applications. It supports the Arduino R3 Shield interconnect system and provides 14 digital I/O pins, 6 of which can be used as PWM outputs, and 6 analog input pins. It also features an ICSP header, 2KB SRAM and 1K of EEPROM. The Uno R3 is compatible with the Arduino IDE (Integrated Development Environment) for easy programming and prototyping using a C++ variant.",https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2539/A000066.JPG,27.6
1050-AKX00025-ND,Arduino,STUDENT KIT EN,"Maker/DIY, Educational",Arduino Uno R3 Sensor Kit Starter Kit,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4360/MFG_AKX00025.jpg,76.2
1050-1075-ND,Arduino,STARTER KIT W/ARDUINO BOARD,"Maker/DIY, Educational",Arduino Uno R3 MCU Arduino R3 Shield Arduino IDE Starter Kit,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/514/K000007.jpg,110.3
1778-SP033-ND,Pimoroni Ltd,RASPBERRY PI PICO TO UNO FLEXYPI,"Development Boards, Kits, Programmers",Raspberry Pi Pico FlexyPin Adapter Connectivity Raspberry Pi Pico Platform Evaluation Expansion Board,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2793/MFG_SP033.jpg,2.12
1050-1166-ND,Arduino,ARDUINO UNO WIFI REV2,"Development Boards, Kits, Programmers","The Arduino Uno WiFi Rev 2 is designed for wireless communication and IoT applications, featuring the ATmega4809 microcontroller. Operating at 5V, it includes 48KB Flash, 6KB SRAM, and 256 bytes of EEPROM, making it efficient for embedded processing tasks. It supports 802.11 b/g/n Wi-Fi on a 2.4GHz frequency, enabling seamless wireless connectivity. With 20 digital I/O pins, 6 analog inputs, 5 PWM outputs, and I2C, SPI, and UART interfaces, it offers versatile connectivity. Designed for RF, RFID, and wireless projects, this board is ideal for prototyping and developing advanced IoT solutions.",https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/774/MFG_ABX00021.jpg,53.8
1050-ABX00062-ND,Arduino,ARDUINO UNO MINI LE,"Development Boards, Kits, Programmers","The Arduino Uno Mini LE is a compact evaluation platform from Arduino, featuring the 8-bit ATmega328 MCU. This board offers a clock speed of 16 MHz and operates at a logic level of 5V, making it suitable for a wide range of embedded applications. It includes 14 digital I/O pins, 6 of which can be used as PWM outputs, and 6 analog input pins, providing versatile interfacing options. It includes 2KB SRAM, 32KB FLASH, and 1KB EEPROM. The Uno Mini LE supports I2C, SPI, and UART communication protocols and is fully compatible with the Arduino IDE, enabling easy programming and prototyping.",https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4021/MFG_ABX00062_01.iso.jpg,54.0
